en;nl;fr;de;sv;pl;no
Max value;Maximum waarde;Valeur maximale;Maximaler Wert;Maxvärde;Wartość maksymalna;Maks verdi
Quotation Number;Offerte nummer;Numéro du devis;Angebotsnummer;Nummer på offert;Numer Oferty;Tilbudsnummer
Assign formula;Formule toewijzen;Attribuer une formule;Formel zuweisen;Tilldela formel;Przypisz formułę;Legg til formel
Edit formula;Formule bewerken;Modifier la formule;Formel bearbeiten;Redigera formeln;Edytuj formułę;Redigere formel
Remove formula;Formule verwijderen;Supprimer une formule;Formel entfernen;Ta bort formeln;Usuń formułę;Fjern formel
Quotation number;Offerte nummer;Numéro de cotation;Angebotsnummer;Offertnummer;Numer oferty;Tilbudsnummer
Is mandatory;Is verplicht;Est obligatoire;Ist obligatorisch;Är obligatorisk;Jest obowiązkowe;Er obligatorisk
Phantom;Phantom;Phantom;Phantom;Fantom;Fantom;Fantom
Create as separate quotation group;Maak als afzonderlijke offertegroep;Créer un groupe distinct pour le devis;Als separate Angebotsgruppe erstellen;Skapa en separat citatgrupp;Utwórz jako oddzielną grupę ofert;Opprett som en egen tilbudsgruppe
Do not add to;Voeg niet toe aan;Ne pas ajouter à;Nicht hinzufügen zu;Lägg inte till i;Nie dodawaj do;Ikke legg til
Combine into one quotation group;Combineer in één offertegroep;Combiner en un seul groupe de devis;Zu einer Angebotsgruppe zusammenfassen;Kombinera till en offertgrupp;Łączenie w jedną grupę ofert;Kombinere til én tilbudsgruppe
Visualize line;Visualiseer regel;Visualiser la ligne;Visualisierung der Linie;Visualisera linje;Wizualizacja linii;Visualiser linje
Add required;Vereist toevoegen;Ajouter obligatoire;Notwendige hinzufügen;Lägg till krävs;Dodaj wymagane;Legg til obligatorisk
Add excludes;Voeg uitsluitingen toe;Ajouter des exclusions;Ausschlüsse hinzufügen;Lägg till undantag;Dodaj wykluczenia;Legg til ekskluderinger 
Add advanced formula;Voeg geavanceerde formule toe;Ajouter une formule avancée;Erweiterte Formel hinzufügen;Lägg till avancerade formler;Dodaj zaawansowaną formułę;Legge til avansert formel 
Add new formula;Voeg een nieuwe formule toe;Ajouter une nouvelle formule;Neue Formel hinzufügen;Lägg till en ny formel;Dodaj nową formułę;Legge til ny formel 
Add New Condition;Nieuwe voorwaarde toevoegen;Ajouter une nouvelle condition;Neue Bedingung hinzufügen;Lägg till nytt krav;Dodaj nowe warunki;Legg til et nytt vilkår 
Unselectable feature;Niet-selecteerbare feature;Caractéristique non sélectionnable;Nicht auswählbares Funktion;Ej valbar funktion;Niewybieralne wyposażenie;Ikke valgbar funksjon 
Relationship(s) causing feature to be unselectable;Relatie (s) waardoor de feature niet te selecteren is;Relation(s) à l'origine de la non-sélection de l'élément.;Beziehung(en), die dazu führen, dass das Funktion nicht auswählbar ist;Relation(er) som gör att funktionen inte kan väljas;Relacja/e, która/e powoduje/ą, że nie można wybrać obiektu;Relasjon(er) som gjør at funksjonen ikke kan velges 
No broken relationships detected.;Geen defecte relaties gedetecteerd.;Aucune relation brisée n'a été détectée.;Keine defekten Beziehungen entdeckt.;Det finns inga brutna relationer.;Nie wykryto zerwanych relacji;Ingen ødelagte relasjoner oppdaget. 
Broken default feature;Defecte standaard feature;Fonctionnalité par défaut cassée;Defektes Standard-Feature;Bristande standardfunktion;Uszkodzone wyposażenie domyślne;Ødelagt standardfunksjon 
Relationship(s) causing feature to turn off by default;Relatie (s) waardoor de feature standaard wordt uitgeschakeld;Relation(s) causant la désactivation de la fonctionnalité par défaut;Beziehung(en), die dazu führen, dass das Funktion standardmäßig deaktiviert ist;Relation(er) som gör att funktionen är avstängd som standard.;Relacja/e, która/e powoduje/ą domyślne wyłączenie wyposażenia;Relasjon(er) som forårsaker at funksjonen deaktiveres som standard 
Last error occurrence;Laatste fout opgetreden;Dernière erreur survenue;Letztes Fehlerereignis;Senaste feltillfället;Wystąpienie ostatniego błędu;Siste feilforekomst
Last selected feature;Laatst geselecteerde feature;Dernière caractéristique sélectionnée;Zuletzt ausgewähltes Funktion;Senast valda funktion;Ostatnio wybrany element;Sist valgte funksjon 
Selected feature value;Geselecteerde feature waarde;Valeur de la caractéristique sélectionnée;Ausgewählter Funktionswert;Valda funktionens värde;Wartość wybranego elementu;Valgt funksjonsverdi 
Error occurred;Fout opgetreden;Erreur survenue;Fehler aufgetreten;Fel inträffade;Wystąpił błąd;Det oppstod en feil 
Error still valid;Fout nog steeds geldig;Erreur toujours valide;Fehler noch gültig;Felet är fortfarande giltigt;Błąd nadal aktywny;Feilen er fortsatt gyldig 
Feature causing error;Feature die fout veroorzaakt;Caractéristique à l'origine de l'erreur;Fehlerverursachendes Feature;Funktion som orsakar felet;Element powodujący błąd;Funksjon som forårsaker feil 
Relationship(s) causing error;Relatie(s) die fout veroorzaken;Relation(s) à l'origine de l'erreur;Fehlerverursachende Beziehung(en);Relation(er) som orsakar felet;Relacja/e powodująca/e błąd;Relasjon(er) som forårsaker feil 
Delete all invalid errors;Verwijder alle ongeldige fouten;Supprimer toutes les erreurs non valides;Alle ungültigen Fehler löschen;Ta bort alla ogiltiga fel;Usuń wszystkie nieprawidłowe błędy;Slett alle ugyldige feil
The relationship type that will be assigned to the dynamic group's children.;Het relatietype dat wordt toegewezen aan de kinderen van de dynamische groep.;Le type de relation qui sera attribué aux enfants du groupe dynamique.;Der Beziehungstyp, der den Kindern der dynamischen Gruppe zugewiesen wird.;Den relationstyp som kommer att tilldelas den dynamiska gruppens barn.;Typ relacji, który zostanie przypisany do elementów podrzędnych grupy dynamicznej;Relasjonstypen som skal tilordnes til den dynamiske gruppens underordnede. 
Visibility;Zichtbaarheid;Visibilité;Sichtbarkeit;Synlighet;Widoczność;Synlighet
Determines in which context the dynamic group's children should be hidden.;Bepaalt in welke context de kinderen van de dynamische groep verborgen moeten worden.;Détermine dans quel contexte les enfants du groupe dynamique doivent être masqués.;Legt fest, in welchem Kontext die Kinder der dynamischen Gruppe verborgen werden sollen.;Bestämmer i vilket sammanhang den dynamiska gruppens barn ska döljas.;Określa, w którym kontekście elementy podrzędne grupy dynamicznej powinny być ukryte;Bestemmer i hvilken sammenheng den dynamiske gruppens underkategori skal skjules. 
Hide in overview (showroom);Verberg in overzicht (showroom);Masquer dans la vue d'ensemble (showroom);In der Übersicht verbergen (Showroom);Döljs i översikten (showroom);Ukryj w podglądzie (showroom);Skjult i oversikt (showroom) 
Features who's properties conform to these filters will be displayed as part of this group.;Features waarvan de eigenschappen voldoen aan deze filters, worden weergegeven als onderdeel van deze groep.;Les caractéristiques dont les propriétés sont conformes à ces filtres seront affichées comme faisant partie de ce groupe.;Funktionen, deren Eigenschaften mit diesen Filtern übereinstimmen, werden als Teil dieser Gruppe angezeigt.;Funktioner vars egenskaper stämmer överens med dessa filter kommer att visas som en del av den här gruppen.;Obiekty, których właściwości są zgodne z tymi filtrami, będą wyświetlane jako część tej grupy.;Funksjoner som har egenskaper som samsvarer med disse filtrene, vises som en del av denne gruppen. 
Select feature value;Selecteer feature waarde;Valeur sélectionnée de la caractéristique;Funktionswert auswählen;Välj funktionens värde;Wybierz wartość obiektu;Velg funksjonsverdi 
selected value of;geselecteerde waarde van;valeur sélectionnée de;ausgewählter Wert von;Utvalt värde av;wybrana wartość;Valgt verdi av 
user selected;gebruiker geselecteerd;utilisateur sélectionné;Benutzer ausgewählt;Användaren vald;wybrany użytkownik;Valgt bruker 
Determines in which order the dynamic group's children should be ordered.;Bepaalt in welke volgorde de kinderen van de dynamische groep moeten worden gerangschikt.;Détermine l'ordre dans lequel les enfants du groupe dynamique doivent être classés.;Legt fest, in welcher Reihenfolge die Kinder der dynamischen Gruppe geordnet werden sollen.;Bestämmer i vilken ordning den dynamiska gruppens barn ska ordnas.;Określa, w jakiej kolejności powinny być uporządkowane elementy podrzędne grupy dynamicznej ;Bestemmer i hvilken rekkefølge den dynamiske gruppens underkategori skal bestilles. 
Order by price;Sorteer op prijs;Ordre par prix;Sortierung nach Preis;Sortera efter pris;Uporządkuj wg ceny;Sortere etter pris 
Order by property value;Sorteer op eigenschap waarde;Ordre par la valeur de la propriété;Sortierung nach Eigenschaftswert;Sortera efter egenskapens värde;Uporządkuj wg wartości;Rekkefølge etter egenskapsverdi 
Order by None;Sorteer op niks;Ordre par aucun;Sortierung nach Keine;Sortera efter Ingen;Uporządkuj wg niczego;Sortere etter ingen 
Version;Versie;Version;Version;Version;Wersja;Versjon 
Ratio;Ratio;Ratio;Verhältnis;Proportion;Współczynnik;Proposjon
Plus;Plus;Plus;Plus;Plus;Plus;Pluss 
Constant;Constante;Constant;Konstante;Konstant;Stały;Konstant 
From value;Van value;De la valeur;Von Wert;Från värde;Od wartości;Fra verdi 
To value;Naar value;Vers la valeur;Bist Wert;Till värde;Do wartości;Til verdi 
For every;Voor elke;Pour chaque;Für jeden;För varje;Dla każdego;For hver 
If;Als;Si;Wenn;Om;Jeśli;Hvis 
single;enkel;Uniquement;einzeln;enstaka;pojedynczy;enkelt 
Work in published model;Werk in gepubliceerd model;Modèle de travail publié;Arbeit im publizierten Modell;Arbete i publicerad modell;Praca w opublikowanym modelu;Arbeidet publiseres i modell 
display options;weergaveopties;options d'affichage;Display-Optionen;visningsalternativ;wyświetl opcje;Visningsalternativer 
equals;is gelijk aan;égale;ist gleich;är lika med;równa się;Tilsvarer 
Variables;Variabelen;Variables;Variablen;Variabler;Zmienne;Variabler 
Formula editor;Formule-editor;Éditeur de formules;Formel-editor;Redaktör för formler;Edytor formuły;Redigeringsverktøy for formel  
for;voor;pour;für  ;för;dla;for 
Tag;Tag;Balise;Tag;Tag;Tag;Tagg
Children;Kinderen;Enfants;Kinder;Barn;Dzieci;Underkategorier 
Property;Eigenschap;Propriété;Eigenschaft;Egenskap;Własność;Egenskap
Inclusion rule;Inclusieregel;Règle d'inclusion;Einbeziehungsregel;Regel för inkludering;Reguła włączenia;Inkluderingsregel 
Sales price;Verkoopprijs;Prix de vente;Verkaufspreis;Säljpris;Cena sprzedaży;Salgspris
Property * value;Eigenschap * waarde;Propriété * valeur;Eigenschaft * Wert;Egendom * värde;Wartość nieruchomości*;Egenskap * verdi 
Add variable;Variabele toevoegen;Ajouter une variable;Variable hinzufügen;Lägg till variabel;Dodaj zmienne;Legg til variabel 
More Info;Meer informatie;Plus d'informations;Mehr Infos;Mer information;Więcej informacji;Mer info 
Feature description;Feature omschrijving;Description de la fonctionnalité;Beschreibung der Funktion;Beskrivning av funktionen;Opis wyposażenia;Beskrivelse av funksjon 
Allowed to sell;Toegestaan om te verkopen;Autorisé à vendre;Erlauft zu verkaufen;Tillåtet att sälja;Dozwolone do sprzedaży;Har tillatelse til å selge 
Organizations allowed to sell;Organisaties mogen verkopen;Organisations autorisées à vendre;Organisationen, die verkaufen können;Organisationer som får sälja;Organizacje uprawnione do sprzedaży;Organisasjoner som har lov til å selge 
Margin;Marge;Marge;Gewinnspanne;Marginal;Marża;Margin
used for margin calculation;gebruikt voor margeberekening;utilisé pour le calcul de la marge;für die Berechnung der Marge verwendet;Används för marginalberäkning.;używane do obliczeń marży;Brukes til marginberegning 
Preview in;Preview in;Aperçu dans;Vorschau im;Förhandsgranskning i;Podgląd w;Forhåndsvisning i 
Preview in showroom;Preview in showroom;Prévisualisation dans le showroom;Vorschau im Showroom;Förhandsgranskning i utställningslokal;Podgląd w showroom;Forhåndsvisning i showroom 
Preview in order entry;Preview in orderinvoer;Aperçu dans la saisie de la commande;Vorschau in der Auftragseingabe;Förhandsgranskning i orderingången;Podgląd w wejściu do zamówienia;Forhåndsvisning i rekkefølge 
Preview pending changes in the configuration model.;Bekijk een voorbeeld van in afwachting van wijzigingen in het configuratiemodel.;Prévisualiser les modifications en attente dans le modèle de configuration.;Vorschau der anstehenden Änderungen im Konfigurationsmodell.;Förhandsgranska väntande ändringar i konfigurationsmodellen.;Podgląd oczekujących zmian w modelu konfiguracji;Forhåndsvis påventende endringer i konfigurasjonsmodellen.
Preview configurator model;Preview configuratiemodel;Prévisualisation du modèle de configuration;Vorschau des Konfiguratormodells;Förhandsgranskning av konfiguratormodellen;Podgląd modelu konfiguratora;Forhåndsvisning av konfiguratormodell 
Visualizing from;Visualiseren van;Visualiser à partir de;Visualisierung von;Visualisering från;Wizualizacja z;Visualisere fra 
Validate configuration model integrity;Valideer de integriteit van het configuratiemodel;Valider l'intégrité du modèle de configuration;Validierung der Integrität des Konfigurationsmodells;Validera konfigurationsmodellens integritet;Sprawdź integralność modelu konfiguracji;Validere konfigurasjonsmodellens integritet 
Validate constraints for startup issues.;Valideer beperkingen voor opstartproblemen.;Valider les contraintes pour les problèmes de démarrage.;Validieren von Beschränkungen für Startup-Probleme.;Validera begränsningar för startproblem.;Sprawdź poprawność ograniczeń dotyczących problemów z uruchamianiem.;Valider begrensninger for oppstartsproblemer. 
Validate;Valideer;Valider;Validieren  ;Validera;Sprawdź;Validere 
Inconsistency history;Inconsistentie geschiedenis;Historique des incohérences;Inkonsistenz-Historie;Historik över inkonsekvenser;Historia niespójności;Historikk over inkonsekvenser 
Diagnose;Diagnosticeren;Diagnostiquer;Diagnose;Diagnostisera;Zdiagnozuj;Diagnostisere 
Requirements;Vereisten;Exigences;Anforderungen;Krav;Wymagania;Krav 
Node;Node;Nœud;Nodes;Knutpunkt;Karta;Node 
No errors found.;Geen fouten gevonden.;Aucune erreur trouvée.;Keine Fehler gefunden;Inga fel hittades.;Nie znaleziono błędów.;Ingen feil funnet. 
Errors found.;Fouten gevonden.;Erreurs trouvées.;Fehler gefunden;Fel hittades.;Znaleziono błędy.;Feil funnet. 
One or more errors found in the configuration model.;Een of meer fouten gevonden in het configuratiemodel.;Une ou plusieurs erreurs ont été trouvées dans le modèle de configuration.;Ein oder mehrere Fehler im Konfigurationsmodell gefunden.;Ett eller flera fel har hittats i konfigurationsmodellen.;Co najmniej jeden błąd znaleziony w modelu konfiguracji.;En eller flere feil funnet i konfigurasjonsmodellen. 
The errors can be resolved by editing or deleting one or more of the following constraints;De fouten kunnen worden opgelost door een of meer van de volgende beperkingen te bewerken of te verwijderen;Les erreurs peuvent être résolues en modifiant ou en supprimant une ou plusieurs des contraintes suivantes;Die Fehler können behoben werden, indem eine oder mehrere der folgenden Beschränkungen bearbeitet oder gelöscht werden;Felen kan lösas genom att redigera eller ta bort en eller flera av följande begränsningar;Błędy można rozwiązać, edytując lub usuwając jedno lub więcej z następujących ograniczeń:;Feilene kan løses ved å redigere eller slette én eller flere av følgende begrensninger: 
Conflicting exclude constraints;Conflicterende uitsluitingsbeperkingen;Contraintes d'exclusion en conflit;Widersprüchliche Ausschlussbedingungen;Motstridiga begränsningar för uteslutning.;Sprzeczne ograniczenia wykluczenia;Motstridende begrensninger utelukkes
and;en;et;und;och;i;og 
Exclude relationship between;Relatie tussen uitsluiten;Relation d'exclusion entre;Ausschlussbeziehung zwischen;Uteslutningsförhållande mellan;Wyklucz relację między;Ekskluder forholdet mellom 
Conflicting required constraints;Tegenstrijdige vereiste beperkingen;Contraintes obligatoires en conflit;Widersprüchliche erforderliche Beschränkungen;Motstridiga begränsningar för krav;Sprzeczne wymagane ograniczenia;Motstridende handlinger kreves
Required relationship between;Vereiste relatie tussen;Relation d'obligation entre;Erforderliche Beziehung zwischen;Förhållande mellan;Wymagany związek między;Nødvendig forhold mellom 
Conflicting condition constraints;Tegenstrijdige voorwaarden;Contraintes de condition contradictoires;Widersprüchliche Bedingungseinschränkungen;Motstridiga villkorskrav;Ograniczenia warunków powodujące konflikt;Motstridende betingelsesbegrensninger 
Condition on;Conditie op;Condition sur;Bedingung ein;Villkor på;Warunek włączony;Betingelser på 
This will publish the configuration model structure.;Dit zal de structuur van het configuratiemodel publiceren.;Cette opération permet de publier la structure du modèle de configuration.;Dadurch wird die Struktur des Konfigurationsmodells publiziert.;Detta kommer att publicera konfigurationsmodellens struktur.;Spowoduje to opublikowanie struktury modelu konfiguracji;Dette publiserer konfigurasjonsmodellstrukturen. 
To update changes in the feature master data or steps, publish the same model from the step editor or select 'Publish content'.;Om wijzigingen in de stamgegevens of stappen van de feature bij te werken, publiceert u hetzelfde model vanuit de stappeneditor of selecteert u 'Inhoud publiceren'.;"Pour mettre à jour les modifications apportées aux données de base des fonctionnalités ou aux étapes, publiez le même modèle à partir de l'éditeur d'étapes ou sélectionnez """"Publier le contenu"""".";"Um Änderungen in den Feature-Stammdaten oder Schritten zu aktualisieren, veröffentlichen Sie dasselbe Modell vom Schritteditor aus oder wählen Sie """"Inhalt publizieren"""".";"Om du vill uppdatera ändringar i funktionens masterdata eller steg publicerar du samma modell från stegredigeraren eller väljer """"Publish content"""" (publicera innehåll).";"Aby zaktualizować zmiany w danych podstawowych elementu lub krokach, opublikuj ten sam model z edytora kroków lub wybierz opcję """"Opublikuj zawartość"""".";Hvis du vil oppdatere endringer i funksjonens masterdata eller steg, publiserer du den samme modellen fra trinnredigeringsprogrammet eller velger Publiser innhold. 
Enter a description;Voer een beschrijving in;Entrez une description;Geben Sie eine Beschreibung ein;Ange en beskrivning;Wprowadź opis;Skriv inn en beskrivelse
will be published to;zal worden gepubliceerd op;sera publié pour;wird publiziert für;kommer att publiceras till;zostaną opublikowane we; vil bli publisert til 
all organizations;alle organisaties;toutes les organisations;alle Organisationen;alla organisationer;wszytskich organizacjach;alle organisasjoner 
The configuration model's;Het configuratiemodel is;Le modèle de configuration;Das Konfigurationsmodell's ;Konfigurationsmodellens;Model konfiguracji;Konfigurasjonsmodellens 
Publish as preview version;Publiceer als voorbeeldversie;Publier comme version de prévisualisation;Als Vorschauversion publizieren;Publicera som förhandsgranskningsversion;Publikuj jako wersję podglądową;Publiser som forhåndsvisningsversjon 
Publish as production version;Publiceer als productieversie;Publier en tant que version de production;Als Produktionsversion publizieren;Publicera som produktionsversion;Publikuj jako wersję produkcyjną;Publisere som produksjonsversjon 
Conflicting quotations;Conflicterende offertes;Cotations contradictoires;Widersprüchliche Angebote;Motstridiga offerter;Sprzeczne oferty;Motstridende tilbud
Warning! All quotations with status 'concept' will be changed to status 'archived'. Archived quotations can not be edited. However, it is possible to copy the archived quotation.;Waarschuwing! Alle offertes met status 'concept' worden gewijzigd in status 'gearchiveerd'. Gearchiveerde offertes kunnen niet worden bewerkt. Het is echter mogelijk om de gearchiveerde offerte te kopiëren.;"Attention ! Toutes les devis avec le statut """"concept"""" seront changés en statut """"archivé"""". Les devis archivés ne peuvent pas être modifiés. Cependant, il est possible de copier les devis archivée.";"Achtung! Alle Angebote mit dem Status """"Konzept"""" werden in den Status """"archiviert"""" geändert. Archivierte Angebote können nicht bearbeitet werden. Es ist jedoch möglich, das archivierte Angebot zu kopieren.";"Varning! Alla offerter med status """"concept"""" kommer att ändras till status """"archived"""". Arkiverade offerter kan inte redigeras. Det är dock möjligt att kopiera den arkiverade offerten.";"Ostrzeżenie! Wszystkie oferty ze statusem """"koncept"""" zostaną zmienione na status """"zarchiwizowane"""". Zarchiwizowanych ofert nie można edytować. Istnieje jednak możliwość skopiowania zarchiwizowanej oferty.";Advarsel! Alle tilbud med status 'konsept' vil bli endret til status 'arkivert'. Arkiverte tilbud kan ikke redigeres. Det er imidlertid mulig å kopiere det arkiverte tilbudet. 
Open;Openen;Ouvrir;öffnen;Öppna;Otwórz;Åpen 
Edit hotspot;Hotspot bewerken;Modifier le hotspot;Hotspot bearbeiten;Redigera hotspot;Edytuj hotspot;Rediger hotspot 
Select feature;Selecteer feature;Sélectionner une fonction;Funktion auswählen;Välj funktion;Wybierz wyposażenie;Velg funksjon
No features have been selected. All features will be displayed in this step.;Er zijn geen features geselecteerd. In deze stap worden alle features weergegeven.;Aucune caractéristique n'a été sélectionnée. Toutes les caractéristiques seront affichées dans cette étape.;Es wurden noch keine Funktionen ausgewählt. In diesem Schritt werden alle Funktionen angezeigt.;Inga funktioner har valts. Alla funktioner visas i det här steget.;Nie wybrano żadnych elementów. W tym kroku zostaną wyświetlone wszystkie elementy.;Ingen funksjoner er valgt. Alle funksjoner vises i dette steget. 
Add visible feature;Zichtbare feature toevoegen;Ajouter une fonction visible;Sichtbare Funktion hinzufügen;Lägg till synlig funktion;Dodaj widoczny element;Legg til synlig funksjon 
Add feature;Feature toevoegen;Ajouter une fonction;Funktion hinzufügen;Lägg till funktion;Dodaj element;Legg til funksjon 
Edit image;Bewerk afbeelding;Modifier l'image;Bild bearbeiten;Redigera bild;Edytuj obraz;Rediger bilde 
Objects attached to;Objecten vastgemaakt aan;Objets attachés à;Objekte, die verbunden sind mit;Objekt som är kopplade till;Obikety dołączone do;Objekter knyttet til 
Object name;Objectnaam;Nom de l'objet;Objektname;Objektnamn;Nazwa obiektu;Navn på objekt 
Hidden object name;Verborgen objectnaam;Nom de l'objet caché;Verborgener Objektname;Dolt objektnamn;Ukryta nazwa obiektu;Navn på skjult objekt
Are you sure you want to delete this step?;Weet je zeker dat je deze stap wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette étape ?;Sind Sie sicher, dass Sie diesen Schritt löschen wollen?;Är du säker på att du vill ta bort det här steget?;Czy na pewno chesz usunąć ten krok?;Er du sikker på at du vil slette dette steget? 
Title;Titel;Titre;Titel;Titel;Tytuł;Tittel 
Yes;Ja;Oui;Ja;Ja;Tak;Ja 
No;Nee;Non;Nein;Nej;Nie;Nei 
Add step;Stap toevoegen;Ajouter une étape;Schritt hinzufügen;Lägg till ett steg;Dodaj krok;Legg til steg
Step icon;Stap icoon;Icône de l'étape;Schritt-Symbol;Stegikon;Ikona kroku;Stegikon 
Hotspots;Hotspots;Hotspots;Hotspots;Hotspots;Hotspots;Hotspots 
Linked configuration models;Gekoppelde configuratiemodellen;Modèles de configuration liés;Verlinkte Konfigurationsmodelle;Länkade konfigurationsmodeller;Połączone modele konfiguracji;Koblede konfigurasjonsmodeller 
Remove;Verwijderen;Supprimer;Entfernen;Ta bort;Usuń;Fjerne
Configuration starting values allow you to override the default values of features in a linked configuration model, based on the value of a feature in the parent configuration.;Met beginwaarden voor configuratie kunt u de standaardwaarden van features in een gekoppeld configuratiemodel overschrijven, op basis van de waarde van een feature in de bovenliggende configuratie.;Les valeurs de départ de la configuration vous permettent de remplacer les valeurs par défaut des fonctionnalités dans un modèle de configuration lié, en fonction de la valeur d'une fonctionnalité dans la configuration parente.;Konfigurationsstartwerte ermöglichen es Ihnen, die Standardwerte von Funktionen in einem verlinkten Konfigurationsmodell zu überschreiben, basierend auf dem Wert einer Funktion in der Hauptkonfiguration.;Med Konfigurationsstartvärden kan du ersätta grundvärdena för funktioner i en länkad konfigurationsmodell, baserat på en funktion i den huvudkonfigurationen.;Początkowe wartości konfiguracji umożliwiają zastąpienie domyślnych wartości obiektów w połączonym modelu konfiguracji na podstawie wartości elementu w konfiguracji nadrzędnej.;Med konfigurasjonens startverdier kan du overstyre verdiene som er satt som standard for den koblede konfigurasjonsmodellens funksjoner, basert på verdien av funksjonen i den overordnede konfigurasjonen.
Configuration starting values;Configuratie startwaarden;Valeurs de départ de la configuration;Startwerte der Konfiguration;Startvärden för konfigurationen;Początkowe wartości konfiguracji;Ingen startverdier for konfigurasjon definert
No configuration starting values defined;Geen beginwaarden voor configuratie gedefinieerd;Aucune valeur de départ de configuration définie;Keine Startwerte für die Konfiguration definiert;Inga konfigurationsstartvärden definierade;Nie zdefiniowano żadnych początkowych wartości konfiguracji;Ingen startverdier for konfigurasjon definert 
Add starting value;Voeg beginwaarde toe;Ajouter une valeur de départ;Startwert hinzufügen;Lägg till startvärde;Dodaj wartość początkową;Legge til startverdi 
Changes made in the Quotation are overwritten in Order Entry. Do you want to continue?;Wijzigingen in de offerte worden overschreven in Order Entry. Wilt u doorgaan?;Les modifications apportées a les devis sont écrasées dans la saisie de la commande. Voulez-vous continuer ?;Die im Angebot vorgenommenen Änderungen werden in der Auftragseingabe überschrieben. Möchten Sie fortfahren?;Ändringar som görs i offerten överskrivs i orderingången. Vill du fortsätta?;Zmiany dokonane w Ofercie są nadpisywane przy wejściu do Zamówień. Czy chcesz kontynuować?;Endringer som gjøres i tilbudet, overskrives i rekkefølgeoppføringen. Vil du fortsette? 
Are you sure you want to add your configuration to a quotation?;Weet u zeker dat u uw configuratie aan een offerte wilt toevoegen?;Êtes-vous sûr de vouloir ajouter votre configuration à un devis ?;Sind Sie sicher, dass Sie Ihre Konfiguration zu einem Angebot hinzufügen möchten?;Är du säker på att du vill lägga till din konfiguration i en offert?;Czy na pewno chesz dodać konfigurację do oferty?;Er du sikker på at du vil legge til konfigurasjonen i et tilbud? 
Confirm Action;Bevestig actie;Confirmer l'action;Aktion bestätigen;Bekräfta åtgärd;Potwierdź akcję;Bekreft handling 
Discount lines;Kortingsregels;Lignes d'escompte;Rabattlinien;Rabatterade rader;Linie rabatu;Linjer for rabatt  
From;Vanaf;Depuis;Von;Från;Od;Fra 
Download PDF;Download PDF;Télécharger le PDF;PDF herunterladen;Ladda ner PDF;Pobierz plik PDF;Last ned PDF 
Attach to quotation;Toevoegen aan offerte;Joindre au devis;Zum Angebot anhängen;Bifoga till offert;Dołącz do oferty;Legg ved tilbud 
Download DOCX;Download DOCX;Télécharger DOCX;DOCX herunterladen;Ladda ner DOCX;Pobierz plik DOCX;Last ned DOCX 
Generate pdf;PDF genereren;Générer pdf;PDF generieren;Generera pdf;Generuj plik PDF;Generere pdf 
Generate docx;DOCX genereren;Générer docx;DOCX generieren;Generera docx;Generuj plik DOCX;Generere docx 
Pending;In afwachting;En attente;In bearbeitung;I väntan på;W trakcie realizacji;Venter
Unanswered mandatories;Onbeantwoorde vereisten;Mandats sans réponse;Unbeantwortete Verpflichtungen;Obesvarade uppdrag;Obowiązkowe zlecenia bez odpowiedzi;Ubesvarte mandater 
Use existing feature;Gebruik bestaande feature;Utiliser une fonctionnalité existante;Bestehende Funktion verwenden;Använd befintlig funktion;Użyj istniejącego obiektu;Bruk eksisterende funksjon 
Create new feature;Nieuwe feature aanmaken;Créer une nouvelle fonctionnalité;Neues Funktion erstellen;Skapa en ny funktion;Stwórz nowy obiekt;Opprett ny funksjon 
Text expression;Tekst expressie;Expression textuelle;Text-Ausdruck;Textuttryck;Wyrażenie tekstowe;Tekstuttrykk 
Display text value;Tekstwaarde weergeven;Afficher la valeur du texte;Textwert anzeigen;Visa textvärde;Wyświetlanie wartości tekstowej;Vis tekstverdi 
Pre-configuration;Voor-configuratie;Préconfiguration;Vorkonfiguration;Förkonfiguration;Konfiguracja wstępna;Pre-konfigurasjon 
Select feature(s);Selecteer feature(s);Sélectionner une ou plusieurs caractéristiques;Funktion(en) auswählen;Välj funktion(er);Wybierz elememt/y;Velg funksjon(er) 
Export;Exporteren;Exporter;Exportieren;Exportera;Exportuj;Eksporter
Apply discount;Korting toepassen;Appliquer une remise;Rabatt anwenden;Tillämpa rabatt;Zastosuj rabat;Legg til rabatt 
Apply on ex. VAT;Toepassen op ex. BTW;Appliquer sur ex. TVA;Anwenden auf ex. MWST.;Tillämpa på ex. MOMS;Zastosuj do ex. VAT;Legg til på eks. mva
Discount Amount;Kortingsbedrag;Montant de la remise;Rabatt-Betrag;Rabattbelopp;Kwota rabatu;Rabattbeløp
Discount Percentage;Kortingspercentage;Pourcentage de la remise;Rabatt-Prozentsatz;Procentuell rabatt;Procent rabatu;Rabattprosenten
Edit permissions;Bewerk rechten;Modifier les autorisations;Berechtigungen bearbeiten;Redigera behörigheter;Edytuj uprawnienia;Redigere tillatelser
Manage billing;Facturatie beheren;Gérer la facturation;Fakturierung verwalten;Hantera fakturering;Zarządzaj rozliczeniami;Administrere fakturering
Submit quotation;Offerte indienen;Soumettre un devis;Angebot einreichen;Lämna offert;Prześlij ofertę;Send inn tilbud
Accept quotation;Offerte accepteren;Accepter les devis;Angebot annehmen;Godkänn offert;Zaakceptuj ofertę;Godta tilbud
